X,Y,Slice,DX,DY,Orientation,Coherency,Energy
5,5,0,-0.816,0.578,35.302,0.237,0.760
15,5,0,-0.817,0.577,35.258,0.236,0.759
25,5,0,-0.817,0.576,35.166,0.234,0.759
35,5,0,-0.819,0.574,35.023,0.230,0.758
45,5,0,-0.821,0.571,34.823,0.225,0.757
55,5,0,-0.824,0.567,34.556,0.220,0.757
65,5,0,-0.827,0.562,34.211,0.213,0.756
75,5,0,-0.831,0.556,33.768,0.206,0.755
85,5,0,-0.837,0.548,33.204,0.197,0.755
95,5,0,-0.843,0.537,32.491,0.188,0.755
105,5,0,-0.852,0.524,31.590,0.179,0.756
115,5,0,-0.862,0.507,30.458,0.169,0.757
125,5,0,-0.874,0.485,29.045,0.160,0.758
135,5,0,-0.889,0.459,27.296,0.150,0.760
145,5,0,-0.905,0.425,25.162,0.141,0.762
155,5,0,-0.923,0.384,22.606,0.133,0.764
165,5,0,-0.942,0.336,19.626,0.126,0.767
175,5,0,-0.960,0.280,16.271,0.122,0.770
185,5,0,-0.976,0.219,12.650,0.119,0.772
195,5,0,-0.988,0.155,8.926,0.118,0.775
205,5,0,-0.996,0.092,5.271,0.120,0.777
215,5,0,-0.999,0.032,1.830,0.123,0.779
225,5,0,-1.000,-0.023,-1.312,0.128,0.781
235,5,0,-0.997,-0.072,-4.130,0.133,0.783
245,5,0,-0.993,-0.116,-6.645,0.140,0.785
255,5,0,-0.988,-0.155,-8.899,0.146,0.786
265,5,0,-0.982,-0.190,-10.947,0.153,0.786
275,5,0,-0.975,-0.222,-12.840,0.160,0.787
285,5,0,-0.968,-0.252,-14.621,0.167,0.787
295,5,0,-0.960,-0.281,-16.326,0.173,0.787
305,5,0,-0.951,-0.309,-17.978,0.180,0.786
315,5,0,-0.942,-0.335,-19.590,0.187,0.786
325,5,0,-0.932,-0.361,-21.169,0.193,0.785
335,5,0,-0.922,-0.386,-22.709,0.200,0.783
345,5,0,-0.912,-0.410,-24.200,0.208,0.781
355,5,0,-0.902,-0.433,-25.628,0.216,0.779
365,5,0,-0.891,-0.454,-26.975,0.224,0.776
375,5,0,-0.881,-0.473,-28.223,0.232,0.773
385,5,0,-0.872,-0.490,-29.358,0.241,0.769
395,5,0,-0.863,-0.506,-30.365,0.251,0.764
405,5,0,-0.855,-0.519,-31.238,0.260,0.759
415,5,0,-0.848,-0.529,-31.971,0.270,0.753
425,5,0,-0.843,-0.538,-32.566,0.280,0.745
435,5,0,-0.838,-0.545,-33.027,0.291,0.737
445,5,0,-0.835,-0.550,-33.362,0.301,0.728
455,5,0,-0.833,-0.553,-33.583,0.311,0.718
465,5,0,-0.832,-0.555,-33.701,0.322,0.707
475,5,0,-0.832,-0.555,-33.730,0.332,0.695
485,5,0,-0.832,-0.555,-33.682,0.341,0.683
495,5,0,-0.833,-0.553,-33.568,0.351,0.669
505,5,0,-0.835,-0.550,-33.398,0.360,0.655
515,5,0,-0.837,-0.547,-33.179,0.369,0.640
525,5,0,-0.839,-0.543,-32.914,0.377,0.624
535,5,0,-0.842,-0.539,-32.602,0.384,0.609
545,5,0,-0.846,-0.533,-32.242,0.391,0.593
555,5,0,-0.850,-0.527,-31.825,0.398,0.577
565,5,0,-0.854,-0.520,-31.341,0.403,0.562
575,5,0,-0.859,-0.512,-30.778,0.408,0.547
585,5,0,-0.865,-0.502,-30.121,0.413,0.533
595,5,0,-0.872,-0.490,-29.355,0.416,0.521
605,5,0,-0.879,-0.477,-28.466,0.419,0.510
615,5,0,-0.887,-0.461,-27.445,0.422,0.500
625,5,0,-0.897,-0.443,-26.286,0.424,0.493
635,5,0,-0.906,-0.422,-24.992,0.427,0.488
645,5,0,-0.917,-0.400,-23.573,0.429,0.485
655,5,0,-0.927,-0.375,-22.049,0.432,0.484
665,5,0,-0.937,-0.349,-20.448,0.436,0.485
675,5,0,-0.947,-0.322,-18.804,0.440,0.489
685,5,0,-0.955,-0.295,-17.151,0.445,0.495
695,5,0,-0.963,-0.268,-15.523,0.450,0.504
705,5,0,-0.970,-0.241,-13.946,0.456,0.514
715,5,0,-0.976,-0.215,-12.440,0.462,0.526
725,5,0,-0.982,-0.191,-11.016,0.468,0.540
735,5,0,-0.986,-0.168,-9.678,0.474,0.555
745,5,0,-0.989,-0.146,-8.424,0.479,0.572
755,5,0,-0.992,-0.126,-7.248,0.484,0.589
765,5,0,-0.994,-0.107,-6.143,0.488,0.608
775,5,0,-0.996,-0.089,-5.100,0.491,0.627
785,5,0,-0.997,-0.072,-4.110,0.494,0.647
795,5,0,-0.998,-0.055,-3.167,0.496,0.666
805,5,0,-0.999,-0.040,-2.265,0.498,0.686
815,5,0,-1.000,-0.024,-1.402,0.500,0.706
825,5,0,-1.000,-0.010,-0.574,0.502,0.725
835,5,0,-1.000,0.004,0.219,0.504,0.744
845,5,0,-1.000,0.017,0.978,0.505,0.762
855,5,0,-1.000,0.030,1.704,0.507,0.779
865,5,0,-0.999,0.042,2.397,0.510,0.795
875,5,0,-0.999,0.053,3.059,0.512,0.810
885,5,0,-0.998,0.064,3.691,0.515,0.824
895,5,0,-0.997,0.075,4.293,0.518,0.837
905,5,0,-0.996,0.085,4.869,0.521,0.849
915,5,0,-0.996,0.094,5.421,0.524,0.859
925,5,0,-0.995,0.104,5.949,0.527,0.869
935,5,0,-0.994,0.112,6.457,0.531,0.877
945,5,0,-0.993,0.121,6.946,0.535,0.885
955,5,0,-0.992,0.129,7.417,0.538,0.891
965,5,0,-0.991,0.137,7.871,0.542,0.897
975,5,0,-0.990,0.145,8.309,0.546,0.901
985,5,0,-0.988,0.152,8.731,0.549,0.905
995,5,0,-0.987,0.159,9.138,0.553,0.909
1005,5,0,-0.986,0.166,9.531,0.556,0.911
1015,5,0,-0.985,0.172,9.909,0.559,0.913
1025,5,0,-0.984,0.178,10.273,0.561,0.914
1035,5,0,-0.983,0.184,10.622,0.564,0.915
1045,5,0,-0.982,0.190,10.955,0.566,0.916
1055,5,0,-0.981,0.195,11.272,0.567,0.916
1065,5,0,-0.980,0.201,11.569,0.569,0.916
1075,5,0,-0.979,0.205,11.846,0.570,0.916
1085,5,0,-0.978,0.210,12.099,0.570,0.915
1095,5,0,-0.977,0.213,12.325,0.571,0.915
1105,5,0,-0.976,0.217,12.522,0.571,0.914
1115,5,0,-0.976,0.220,12.685,0.570,0.912
1125,5,0,-0.975,0.222,12.811,0.570,0.910
1135,5,0,-0.975,0.223,12.899,0.569,0.907
1145,5,0,-0.975,0.224,12.944,0.568,0.904
1155,5,0,-0.975,0.224,12.946,0.567,0.900
1165,5,0,-0.975,0.223,12.901,0.566,0.896
1175,5,0,-0.975,0.222,12.809,0.565,0.891
1185,5,0,-0.976,0.219,12.671,0.564,0.886
1195,5,0,-0.976,0.216,12.487,0.563,0.882
1205,5,0,-0.977,0.212,12.259,0.563,0.877
1215,5,0,-0.978,0.208,11.992,0.564,0.874
1225,5,0,-0.979,0.203,11.690,0.565,0.871
1235,5,0,-0.980,0.197,11.360,0.567,0.869
1245,5,0,-0.982,0.191,11.007,0.569,0.868
1255,5,0,-0.983,0.185,10.638,0.572,0.868
1265,5,0,-0.984,0.178,10.262,0.575,0.869
1275,5,0,-0.985,0.172,9.884,0.579,0.872
1285,5,0,-0.986,0.165,9.511,0.584,0.875
1295,5,0,-0.987,0.159,9.146,0.589,0.880
1305,5,0,-0.988,0.153,8.793,0.594,0.886
1315,5,0,-0.989,0.147,8.454,0.599,0.893
1325,5,0,-0.990,0.141,8.131,0.605,0.901
1335,5,0,-0.991,0.136,7.824,0.611,0.909
1345,5,0,-0.991,0.131,7.533,0.617,0.918
1355,5,0,-0.992,0.126,7.256,0.623,0.927
1365,5,0,-0.993,0.122,6.993,0.630,0.937
1375,5,0,-0.993,0.117,6.743,0.636,0.947
1385,5,0,-0.994,0.113,6.504,0.643,0.956
1395,5,0,-0.994,0.109,6.275,0.649,0.966
1405,5,0,-0.994,0.105,6.055,0.656,0.974
1415,5,0,-0.995,0.102,5.843,0.663,0.982
1425,5,0,-0.995,0.098,5.638,0.669,0.989
1435,5,0,-0.995,0.095,5.439,0.675,0.994
1445,5,0,-0.996,0.091,5.247,0.681,0.998
1455,5,0,-0.996,0.088,5.060,0.686,1.000
1465,5,0,-0.996,0.085,4.878,0.690,1.000
1475,5,0,-0.997,0.082,4.702,0.694,0.998
1485,5,0,-0.997,0.079,4.529,0.697,0.994
1495,5,0,-0.997,0.076,4.361,0.699,0.988
1505,5,0,-0.997,0.073,4.196,0.700,0.981
1515,5,0,-0.998,0.070,4.036,0.700,0.972
1525,5,0,-0.998,0.068,3.879,0.700,0.963
1535,5,0,-0.998,0.065,3.728,0.699,0.952
1545,5,0,-0.998,0.062,3.582,0.697,0.940
1555,5,0,-0.998,0.060,3.443,0.695,0.928
1565,5,0,-0.998,0.058,3.311,0.692,0.916
1575,5,0,-0.998,0.056,3.189,0.689,0.904
1585,5,0,-0.999,0.054,3.076,0.685,0.892
1595,5,0,-0.999,0.052,2.974,0.680,0.881
1605,5,0,-0.999,0.050,2.883,0.676,0.870
1615,5,0,-0.999,0.049,2.802,0.671,0.860
1625,5,0,-0.999,0.048,2.730,0.666,0.851
1635,5,0,-0.999,0.047,2.665,0.661,0.843
1645,5,0,-0.999,0.045,2.605,0.656,0.836
1655,5,0,-0.999,0.044,2.547,0.651,0.829
1665,5,0,-0.999,0.043,2.487,0.646,0.824
1675,5,0,-0.999,0.042,2.422,0.641,0.820
1685,5,0,-0.999,0.041,2.349,0.637,0.817
1695,5,0,-0.999,0.040,2.265,0.632,0.814
1705,5,0,-0.999,0.038,2.168,0.628,0.812
1715,5,0,-0.999,0.036,2.056,0.624,0.811
1725,5,0,-0.999,0.034,1.928,0.619,0.810
1735,5,0,-1.000,0.031,1.782,0.615,0.809
1745,5,0,-1.000,0.028,1.619,0.611,0.809
1755,5,0,-1.000,0.025,1.439,0.606,0.808
1765,5,0,-1.000,0.022,1.241,0.602,0.808
1775,5,0,-1.000,0.018,1.027,0.598,0.807
1785,5,0,-1.000,0.014,0.797,0.593,0.807
1795,5,0,-1.000,0.010,0.551,0.589,0.806
1805,5,0,-1.000,0.005,0.292,0.585,0.806
1815,5,0,-1.000,3.391E-4,0.019,0.581,0.806
1825,5,0,-1.000,-0.005,-0.263,0.577,0.806
1835,5,0,-1.000,-0.010,-0.555,0.574,0.806
1845,5,0,-1.000,-0.015,-0.852,0.571,0.806
1855,5,0,-1.000,-0.020,-1.151,0.568,0.807
1865,5,0,-1.000,-0.025,-1.450,0.565,0.807
1875,5,0,-1.000,-0.030,-1.745,0.563,0.807
1885,5,0,-0.999,-0.035,-2.032,0.561,0.807
1895,5,0,-0.999,-0.040,-2.308,0.559,0.807
1905,5,0,-0.999,-0.045,-2.570,0.557,0.806
1915,5,0,-0.999,-0.049,-2.814,0.556,0.805
1925,5,0,-0.999,-0.053,-3.039,0.554,0.804
1935,5,0,-0.998,-0.057,-3.241,0.552,0.801
1945,5,0,-0.998,-0.060,-3.420,0.551,0.799
1955,5,0,-0.998,-0.062,-3.577,0.549,0.795
1965,5,0,-0.998,-0.065,-3.712,0.547,0.792
1975,5,0,-0.998,-0.067,-3.829,0.545,0.788
1985,5,0,-0.998,-0.069,-3.931,0.543,0.784
1995,5,0,-0.998,-0.070,-4.025,0.542,0.779
2005,5,0,-0.997,-0.072,-4.118,0.540,0.775
2015,5,0,-0.997,-0.074,-4.219,0.539,0.770
2025,5,0,-0.997,-0.076,-4.334,0.538,0.765
2035,5,0,-0.997,-0.078,-4.473,0.538,0.760
2045,5,0,-0.997,-0.081,-4.641,0.539,0.755
2055,5,0,-0.996,-0.084,-4.844,0.540,0.750
2065,5,0,-0.996,-0.089,-5.084,0.542,0.745
2075,5,0,-0.996,-0.093,-5.362,0.544,0.739
2085,5,0,-0.995,-0.099,-5.677,0.548,0.733
2095,5,0,-0.994,-0.105,-6.025,0.551,0.727
2105,5,0,-0.994,-0.111,-6.399,0.556,0.720
2115,5,0,-0.993,-0.118,-6.795,0.561,0.713
2125,5,0,-0.992,-0.125,-7.204,0.566,0.705
2135,5,0,-0.991,-0.133,-7.618,0.571,0.697
2145,5,0,-0.990,-0.140,-8.030,0.577,0.687
2155,5,0,-0.989,-0.147,-8.433,0.582,0.676
2165,5,0,-0.988,-0.153,-8.818,0.587,0.665
2175,5,0,-0.987,-0.160,-9.182,0.592,0.652
2185,5,0,-0.986,-0.165,-9.517,0.597,0.638
2195,5,0,-0.985,-0.171,-9.819,0.600,0.624
2205,5,0,-0.985,-0.175,-10.087,0.603,0.609
2215,5,0,-0.984,-0.179,-10.316,0.606,0.593
2225,5,0,-0.983,-0.182,-10.506,0.607,0.577
2235,5,0,-0.983,-0.185,-10.657,0.607,0.560
2245,5,0,-0.982,-0.187,-10.770,0.607,0.544
2255,5,0,-0.982,-0.188,-10.846,0.605,0.529
2265,5,0,-0.982,-0.189,-10.889,0.602,0.515
