X,Y,Slice,DX,DY,Orientation,Coherency,Energy
5,5,0,-0.932,0.362,21.212,0.657,0.889
15,5,0,-0.932,0.362,21.215,0.657,0.888
25,5,0,-0.932,0.362,21.221,0.656,0.887
35,5,0,-0.932,0.362,21.230,0.656,0.886
45,5,0,-0.932,0.362,21.238,0.655,0.884
55,5,0,-0.932,0.362,21.245,0.655,0.882
65,5,0,-0.932,0.362,21.249,0.654,0.879
75,5,0,-0.932,0.362,21.249,0.652,0.875
85,5,0,-0.932,0.362,21.241,0.651,0.870
95,5,0,-0.932,0.362,21.227,0.649,0.864
105,5,0,-0.932,0.362,21.205,0.647,0.858
115,5,0,-0.932,0.361,21.176,0.645,0.851
125,5,0,-0.933,0.361,21.141,0.642,0.844
135,5,0,-0.933,0.360,21.101,0.640,0.837
145,5,0,-0.933,0.359,21.060,0.638,0.829
155,5,0,-0.933,0.359,21.020,0.636,0.822
165,5,0,-0.934,0.358,20.985,0.634,0.815
175,5,0,-0.934,0.358,20.959,0.632,0.808
185,5,0,-0.934,0.357,20.946,0.630,0.802
195,5,0,-0.934,0.358,20.948,0.628,0.797
205,5,0,-0.934,0.358,20.970,0.627,0.793
215,5,0,-0.933,0.359,21.013,0.625,0.789
225,5,0,-0.933,0.360,21.079,0.624,0.785
235,5,0,-0.933,0.361,21.169,0.623,0.782
245,5,0,-0.932,0.363,21.283,0.621,0.778
255,5,0,-0.931,0.365,21.421,0.620,0.775
265,5,0,-0.930,0.368,21.582,0.618,0.772
275,5,0,-0.929,0.371,21.763,0.617,0.768
285,5,0,-0.927,0.374,21.961,0.615,0.764
295,5,0,-0.926,0.377,22.175,0.612,0.759
305,5,0,-0.925,0.381,22.402,0.610,0.754
315,5,0,-0.923,0.385,22.637,0.607,0.749
325,5,0,-0.921,0.389,22.879,0.605,0.743
335,5,0,-0.920,0.393,23.125,0.602,0.737
345,5,0,-0.918,0.397,23.372,0.599,0.731
355,5,0,-0.916,0.401,23.620,0.595,0.725
365,5,0,-0.914,0.405,23.866,0.592,0.719
375,5,0,-0.913,0.409,24.111,0.588,0.713
385,5,0,-0.911,0.412,24.353,0.585,0.708
395,5,0,-0.909,0.416,24.593,0.581,0.702
405,5,0,-0.908,0.420,24.831,0.578,0.696
415,5,0,-0.906,0.424,25.068,0.574,0.691
425,5,0,-0.904,0.427,25.305,0.570,0.685
435,5,0,-0.902,0.431,25.541,0.567,0.679
445,5,0,-0.900,0.435,25.778,0.563,0.673
455,5,0,-0.899,0.439,26.016,0.560,0.666
465,5,0,-0.897,0.442,26.255,0.557,0.659
475,5,0,-0.895,0.446,26.497,0.553,0.651
485,5,0,-0.893,0.450,26.739,0.550,0.643
495,5,0,-0.891,0.454,26.982,0.547,0.633
505,5,0,-0.889,0.457,27.225,0.544,0.623
515,5,0,-0.887,0.461,27.464,0.542,0.612
525,5,0,-0.885,0.465,27.699,0.539,0.600
535,5,0,-0.884,0.468,27.925,0.536,0.588
545,5,0,-0.882,0.472,28.138,0.534,0.575
555,5,0,-0.880,0.475,28.336,0.531,0.562
565,5,0,-0.879,0.477,28.512,0.529,0.549
575,5,0,-0.877,0.480,28.662,0.527,0.536
585,5,0,-0.876,0.481,28.782,0.525,0.523
595,5,0,-0.876,0.483,28.868,0.524,0.512
605,5,0,-0.875,0.483,28.914,0.523,0.501
615,5,0,-0.875,0.484,28.918,0.522,0.491
625,5,0,-0.876,0.483,28.879,0.522,0.484
635,5,0,-0.876,0.482,28.795,0.523,0.478
645,5,0,-0.877,0.480,28.668,0.523,0.474
655,5,0,-0.879,0.477,28.500,0.525,0.472
665,5,0,-0.881,0.474,28.294,0.526,0.472
675,5,0,-0.882,0.470,28.055,0.528,0.475
685,5,0,-0.885,0.466,27.786,0.530,0.480
695,5,0,-0.887,0.462,27.491,0.531,0.487
705,5,0,-0.890,0.457,27.175,0.533,0.497
715,5,0,-0.892,0.451,26.839,0.534,0.508
725,5,0,-0.895,0.446,26.484,0.535,0.521
735,5,0,-0.898,0.440,26.113,0.536,0.536
745,5,0,-0.901,0.434,25.724,0.536,0.552
755,5,0,-0.904,0.428,25.318,0.536,0.568
765,5,0,-0.907,0.421,24.895,0.535,0.585
775,5,0,-0.910,0.414,24.454,0.534,0.602
785,5,0,-0.914,0.407,23.995,0.533,0.619
795,5,0,-0.917,0.399,23.520,0.531,0.635
805,5,0,-0.920,0.391,23.028,0.529,0.651
815,5,0,-0.924,0.383,22.522,0.526,0.664
825,5,0,-0.927,0.375,22.002,0.524,0.677
835,5,0,-0.931,0.366,21.471,0.521,0.688
845,5,0,-0.934,0.357,20.929,0.519,0.697
855,5,0,-0.937,0.348,20.380,0.516,0.705
865,5,0,-0.941,0.339,19.823,0.513,0.712
875,5,0,-0.944,0.330,19.262,0.511,0.717
885,5,0,-0.947,0.321,18.695,0.508,0.721
895,5,0,-0.950,0.311,18.125,0.506,0.724
905,5,0,-0.953,0.302,17.549,0.504,0.727
915,5,0,-0.956,0.292,16.969,0.502,0.729
925,5,0,-0.959,0.282,16.381,0.501,0.732
935,5,0,-0.962,0.272,15.784,0.500,0.734
945,5,0,-0.965,0.262,15.174,0.500,0.736
955,5,0,-0.968,0.251,14.549,0.500,0.738
965,5,0,-0.971,0.240,13.903,0.500,0.740
975,5,0,-0.973,0.229,13.233,0.501,0.743
985,5,0,-0.976,0.217,12.536,0.503,0.745
995,5,0,-0.979,0.205,11.809,0.505,0.747
1005,5,0,-0.981,0.192,11.052,0.508,0.749
1015,5,0,-0.984,0.178,10.265,0.511,0.752
1025,5,0,-0.986,0.164,9.451,0.515,0.753
1035,5,0,-0.989,0.150,8.616,0.519,0.755
1045,5,0,-0.991,0.135,7.768,0.524,0.757
1055,5,0,-0.993,0.120,6.915,0.529,0.759
1065,5,0,-0.994,0.106,6.066,0.534,0.761
1075,5,0,-0.996,0.091,5.232,0.540,0.762
1085,5,0,-0.997,0.077,4.421,0.546,0.764
1095,5,0,-0.998,0.063,3.640,0.553,0.767
1105,5,0,-0.999,0.051,2.896,0.559,0.769
1115,5,0,-0.999,0.038,2.191,0.565,0.771
1125,5,0,-1.000,0.027,1.529,0.571,0.774
1135,5,0,-1.000,0.016,0.911,0.576,0.777
1145,5,0,-1.000,0.006,0.337,0.581,0.779
1155,5,0,-1.000,-0.003,-0.194,0.586,0.782
1165,5,0,-1.000,-0.012,-0.683,0.591,0.785
1175,5,0,-1.000,-0.020,-1.131,0.595,0.788
1185,5,0,-1.000,-0.027,-1.541,0.598,0.790
1195,5,0,-0.999,-0.033,-1.916,0.602,0.793
1205,5,0,-0.999,-0.039,-2.258,0.605,0.795
1215,5,0,-0.999,-0.045,-2.570,0.607,0.796
1225,5,0,-0.999,-0.050,-2.857,0.609,0.798
1235,5,0,-0.999,-0.054,-3.121,0.611,0.798
1245,5,0,-0.998,-0.059,-3.367,0.612,0.799
1255,5,0,-0.998,-0.063,-3.597,0.613,0.799
1265,5,0,-0.998,-0.067,-3.815,0.614,0.798
1275,5,0,-0.998,-0.070,-4.023,0.614,0.797
1285,5,0,-0.997,-0.074,-4.224,0.614,0.795
1295,5,0,-0.997,-0.077,-4.421,0.613,0.794
1305,5,0,-0.997,-0.080,-4.614,0.612,0.791
1315,5,0,-0.996,-0.084,-4.807,0.612,0.789
1325,5,0,-0.996,-0.087,-5.001,0.611,0.787
1335,5,0,-0.996,-0.091,-5.200,0.609,0.784
1345,5,0,-0.996,-0.094,-5.405,0.608,0.781
1355,5,0,-0.995,-0.098,-5.619,0.607,0.779
1365,5,0,-0.995,-0.102,-5.845,0.606,0.776
1375,5,0,-0.994,-0.106,-6.085,0.606,0.773
1385,5,0,-0.994,-0.110,-6.343,0.605,0.770
1395,5,0,-0.993,-0.115,-6.619,0.605,0.768
1405,5,0,-0.993,-0.120,-6.914,0.604,0.765
1415,5,0,-0.992,-0.126,-7.229,0.604,0.762
1425,5,0,-0.991,-0.132,-7.563,0.604,0.759
1435,5,0,-0.990,-0.138,-7.915,0.605,0.755
1445,5,0,-0.990,-0.144,-8.280,0.605,0.752
1455,5,0,-0.989,-0.151,-8.657,0.606,0.748
1465,5,0,-0.988,-0.157,-9.040,0.607,0.745
1475,5,0,-0.986,-0.164,-9.426,0.607,0.741
1485,5,0,-0.985,-0.170,-9.811,0.608,0.737
1495,5,0,-0.984,-0.177,-10.189,0.608,0.733
1505,5,0,-0.983,-0.183,-10.559,0.608,0.730
1515,5,0,-0.982,-0.189,-10.915,0.608,0.726
1525,5,0,-0.981,-0.195,-11.257,0.607,0.723
1535,5,0,-0.980,-0.201,-11.582,0.606,0.720
1545,5,0,-0.979,-0.206,-11.889,0.605,0.717
1555,5,0,-0.977,-0.211,-12.177,0.604,0.715
1565,5,0,-0.976,-0.216,-12.446,0.602,0.714
1575,5,0,-0.976,-0.220,-12.695,0.600,0.714
1585,5,0,-0.975,-0.224,-12.924,0.597,0.714
1595,5,0,-0.974,-0.227,-13.135,0.595,0.716
1605,5,0,-0.973,-0.230,-13.326,0.592,0.718
1615,5,0,-0.972,-0.233,-13.497,0.589,0.722
1625,5,0,-0.972,-0.236,-13.650,0.586,0.726
1635,5,0,-0.971,-0.238,-13.785,0.583,0.731
1645,5,0,-0.971,-0.240,-13.901,0.579,0.736
1655,5,0,-0.970,-0.242,-14.000,0.575,0.741
1665,5,0,-0.970,-0.243,-14.083,0.572,0.747
1675,5,0,-0.970,-0.244,-14.151,0.567,0.752
1685,5,0,-0.969,-0.245,-14.208,0.563,0.757
1695,5,0,-0.969,-0.246,-14.257,0.558,0.762
1705,5,0,-0.969,-0.247,-14.301,0.554,0.766
1715,5,0,-0.969,-0.248,-14.347,0.549,0.769
1725,5,0,-0.969,-0.249,-14.400,0.543,0.771
1735,5,0,-0.968,-0.250,-14.468,0.538,0.773
1745,5,0,-0.968,-0.251,-14.556,0.533,0.774
1755,5,0,-0.967,-0.253,-14.673,0.528,0.774
1765,5,0,-0.967,-0.256,-14.827,0.522,0.774
1775,5,0,-0.966,-0.259,-15.023,0.517,0.773
1785,5,0,-0.965,-0.263,-15.269,0.512,0.772
1795,5,0,-0.963,-0.268,-15.570,0.507,0.770
1805,5,0,-0.962,-0.274,-15.931,0.503,0.768
1815,5,0,-0.960,-0.282,-16.354,0.499,0.765
1825,5,0,-0.957,-0.290,-16.843,0.495,0.762
1835,5,0,-0.954,-0.299,-17.400,0.491,0.759
1845,5,0,-0.951,-0.309,-18.026,0.488,0.755
1855,5,0,-0.947,-0.321,-18.723,0.485,0.751
1865,5,0,-0.943,-0.334,-19.492,0.482,0.746
1875,5,0,-0.938,-0.348,-20.335,0.479,0.741
1885,5,0,-0.932,-0.362,-21.253,0.476,0.736
1895,5,0,-0.926,-0.379,-22.245,0.473,0.730
1905,5,0,-0.918,-0.396,-23.312,0.470,0.724
1915,5,0,-0.910,-0.414,-24.451,0.468,0.718
1925,5,0,-0.901,-0.433,-25.658,0.465,0.712
1935,5,0,-0.892,-0.453,-26.923,0.463,0.706
1945,5,0,-0.881,-0.473,-28.237,0.462,0.701
1955,5,0,-0.870,-0.494,-29.586,0.461,0.695
1965,5,0,-0.858,-0.514,-30.953,0.461,0.691
1975,5,0,-0.845,-0.535,-32.320,0.462,0.687
1985,5,0,-0.832,-0.554,-33.668,0.463,0.683
1995,5,0,-0.819,-0.573,-34.980,0.465,0.681
2005,5,0,-0.807,-0.591,-36.243,0.468,0.678
2015,5,0,-0.794,-0.608,-37.445,0.470,0.677
2025,5,0,-0.782,-0.624,-38.582,0.474,0.675
2035,5,0,-0.770,-0.638,-39.651,0.477,0.674
2045,5,0,-0.759,-0.652,-40.658,0.480,0.673
2055,5,0,-0.748,-0.664,-41.609,0.482,0.672
2065,5,0,-0.737,-0.676,-42.514,0.484,0.670
2075,5,0,-0.727,-0.687,-43.388,0.486,0.668
2085,5,0,-0.716,-0.698,-44.242,0.487,0.665
2095,5,0,-0.706,-0.708,-45.093,0.487,0.661
2105,5,0,-0.695,-0.719,-45.955,0.487,0.656
2115,5,0,-0.684,-0.729,-46.842,0.485,0.650
2125,5,0,-0.672,-0.740,-47.766,0.484,0.643
2135,5,0,-0.659,-0.752,-48.738,0.482,0.634
