X,Y,Slice,DX,DY,Orientation,Coherency,Energy
5,5,0,-0.183,-0.983,-79.482,0.548,0.745
15,5,0,-0.181,-0.983,-79.549,0.547,0.746
25,5,0,-0.179,-0.984,-79.685,0.547,0.748
35,5,0,-0.176,-0.984,-79.892,0.546,0.750
45,5,0,-0.171,-0.985,-80.168,0.544,0.753
55,5,0,-0.165,-0.986,-80.513,0.542,0.756
65,5,0,-0.158,-0.987,-80.930,0.539,0.759
75,5,0,-0.149,-0.989,-81.419,0.535,0.762
85,5,0,-0.139,-0.990,-81.983,0.531,0.765
95,5,0,-0.128,-0.992,-82.624,0.527,0.767
105,5,0,-0.116,-0.993,-83.348,0.521,0.769
115,5,0,-0.102,-0.995,-84.157,0.515,0.769
125,5,0,-0.086,-0.996,-85.055,0.509,0.769
135,5,0,-0.069,-0.998,-86.045,0.502,0.768
145,5,0,-0.050,-0.999,-87.127,0.495,0.766
155,5,0,-0.030,-1.000,-88.301,0.487,0.764
165,5,0,-0.008,-0.600,-89.214,0.480,0.760
175,5,0,-0.016,1.000,89.086,0.473,0.757
185,5,0,-0.041,0.999,87.659,0.465,0.753
195,5,0,-0.067,0.998,86.161,0.458,0.749
205,5,0,-0.094,0.996,84.603,0.452,0.745
215,5,0,-0.122,0.992,82.994,0.445,0.741
225,5,0,-0.150,0.989,81.345,0.440,0.738
235,5,0,-0.179,0.984,79.666,0.434,0.735
245,5,0,-0.208,0.978,77.969,0.429,0.733
255,5,0,-0.237,0.971,76.267,0.425,0.731
265,5,0,-0.266,0.964,74.571,0.422,0.729
275,5,0,-0.294,0.956,72.897,0.419,0.728
285,5,0,-0.321,0.947,71.259,0.418,0.728
295,5,0,-0.347,0.938,69.674,0.418,0.729
305,5,0,-0.372,0.928,68.159,0.419,0.730
315,5,0,-0.395,0.919,66.732,0.421,0.732
325,5,0,-0.416,0.909,65.408,0.424,0.735
335,5,0,-0.435,0.900,64.199,0.429,0.738
345,5,0,-0.452,0.892,63.116,0.435,0.742
